Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
1;0;0;0;0;0;0
2;0;0;0;0;0;0
3;0;0;1.8;0;1.8;0
4;0;0;5.4;0;5.4;0
5;0;0;9;0;9;0
6;0;0;12.6;0;12.6;0
7;0;0;16.139;0;16.2;0
8;0;0;19.4651;0;19.8;0
9;0;0;22.4023;0;23.4;0
10;0;0;24.842;0;26.9675;0
11;0;0;27.0979;0;30.2952;0
12;0;0;29.3114;0;33.1149;0
13;0.72;0.72;31.0713;0.72;35.6499;0.72
14;3.24;3.24;32.494;3.24;38.2556;3.24
15;6.84;6.84;33.9621;6.84;40.9479;6.84
16;10.44;10.44;35.5306;10.44;43.647;10.44
17;14.04;14.04;37.2015;14.04;46.2532;14.04
18;17.64;17.64;38.9658;17.64;48.7272;17.64
19;21.0294;21.0294;40.7992;21.0294;51.0757;21.0294
20;23.1594;23.1594;42.6986;23.1594;53.305;23.1594
21;23.7;23.7;44.6672;23.7;55.4213;23.7
22;23.7;23.7;46.6781;23.7;57.4302;23.7
23;23.7;23.7;48.7077;23.7;59.3375;23.7
24;23.7;23.7;50.738;23.7;61.1664;23.7
25;23.7;23.7;52.7695;23.7;62.909;23.7
26;23.7;23.7;54.8007;23.7;63.8758;23.7
27;23.5793;23.5793;56.8073;23.5793;64;23.5793
28;21.6586;21.6586;58.7459;21.6586;64;21.6586
29;18.0586;18.0586;60.5949;18.0586;64;18.0586
30;14.4586;14.4586;62.3979;14.4586;64;14.4586
31;11.3293;11.3293;63.648;11.3293;64;11.3293
32;10;10;64;10;64;10
33;11.5895;11.47;64;11.7956;64;11.7956
34;14.9789;14.6946;64;15.3911;64;15.2878
35;17.5895;17.4246;64;17.7956;64;17.6923
36;18.4;18.4;64;18.4;64;18.4
37;18.4;18.4;64;18.4;64;18.4
38;18.4;18.4;64;18.4;64;18.4
39;17.6138;17.6763;64;17.5159;64;17.5332
40;15.4638;15.5263;64;15.3659;64;15.3832
41;14.1;14.1;64;14.1;64;14.1
42;14.1;14.1;64;14.1;64;14.1
43;14.1;14.1;64;14.1;64;14.1
44;14.1;14.1;64;14.1;64;14.1
45;14.1;14.1;64;14.1;64;14.1
46;14.1;14.1;64;14.1;64;14.1
47;14.1;14.1;64;14.1;64;14.1
48;12.7394;12.802;64;12.6416;64;12.6588
49;9.5789;9.7039;64;9.3831;64;9.4177
50;6.0422;6.1632;64;5.8527;64;5.8862
51;2.6207;2.7377;64;2.4374;64;2.4698
52;0.4679;0.5265;64;0.3763;64;0.3925
53;0;0;64;0;64;0
54;0;0;64;0;64;0
55;0;0;64;0;64;0
56;0;0;64;0;64;0
57;0.2201;0.1576;64;0.318;64;0.3007
58;2.2402;2.1151;64;2.4359;64;2.4014
59;5.8402;5.7151;64;6.0359;64;6.0014
60;9.4402;9.3151;64;9.6359;64;9.6014
61;13.0402;12.9151;64;13.2359;64;13.2014
62;16.6402;16.4996;64;16.8359;64;16.8014
63;20.2402;20.0301;64;20.4359;63.8119;20.4014
64;23.8402;23.4187;64;24.0359;62.7239;24.0014
65;27.3982;26.6243;64;27.5898;60.9145;27.556
66;30.1781;29.6937;63.2945;30.2718;58.9754;30.2553
67;31.2;31.2;61.689;31.2;56.7048;31.2
68;31.4242;31.3137;59.8279;31.5749;53.9678;31.514
69;33.1087;32.6637;57.7208;33.512;51.2358;33.3457
70;35.7866;35.2907;55.1925;36.0871;50;35.973
71;37.052;36.8907;52.2851;37.1;50;37.0913
72;37.1;37.1;50.3799;37.1;50;37.1
73;37.1;37.1;50;37.1;50;37.1
74;37.1;37.1;50;37.1;50;37.1
75;35.6967;35.8788;50;35.573;50;35.6036
76;33.9467;34.1288;50;33.823;50;33.8536
77;33.6;33.6;50;33.6;50;33.6
78;33.6;33.6;50;33.6;50;33.6
79;33.6;33.6;50;33.6;50;33.6
80;33.6;33.6;50;33.6;50;33.6
81;33.6;33.6;50;33.6;50;33.6
82;33.6;33.6;50;33.6;50;33.6
83;33.6;33.6;50;33.6;50;33.6
84;32.7961;32.9824;50;32.6696;50;32.7009
85;30.1922;30.5648;50;29.9392;50;30.0018
86;26.5922;26.9648;50;26.3392;50;26.4018
87;22.9922;23.3648;50;22.7392;50;22.8018
88;19.3922;19.7648;50;19.1392;50;19.2018
89;15.7922;16.1648;50;15.5581;50;15.6197
90;13.2314;13.2818;50;13.3353;50;13.3294
91;14.0878;13.6645;50;14.6936;50;14.583
92;17.5051;16.6374;50;18.2936;50;18.0797
93;21.1051;19.5634;50;21.8936;50;21.5657
94;24.518;22.2958;50;25.4848;50;24.9201
95;27.6718;24.525;50;28.9852;50;28.0327
96;30.378;26.4616;50;32.2216;50;30.6548
97;32.4854;28.6063;50;33.7744;50;32.743
98;33.6138;30.5474;50;33.8;50;33.7592
99;33.8;31.9583;50;33.8;50;33.8
100;33.8;33.1065;50;33.8;50;33.8
